concept,label,identifier,,source,citation
"""Aligned"" LFW",aligned lwf,aligned_lwf,a version of the LFW image set that has been adjusted to center the facial features in the image,http://vis-www.cs.umass.edu/lfw/,"“Labeled Faces in the Wild Home,” LFW : Results. [Online]. Available: http://vis-www.cs.umass.edu/lfw/. [Accessed: 06-Oct-2018]."
Actvity,actvity,actvity,something that occurs over a period of time and acts upon or with entities,,PROV-O: The PROV Ontology. [Online]. Available: https://www.w3.org/TR/prov-o/#Activity. [Accessed: 02-Nov-2018].
Additional Face(s),additional face(s),additional_faces,face(s) in the photo other than the primary subject of the photo,http://vis-www.cs.umass.edu/lfw/,"E. Learned-Miller, G. B. Huang, A. RoyChowdhury, H. Li, and G. Hua, “Labeled faces in the wild: A survey,” in Advances in face detection and facial image analysis. Springer, 2016, pp. 189–248."
Adult,adult,adult,person from age 18 to 44 years old,,"N. Geifman and E. Rubin, “The Age-Phenome Knowledgebase: an example to handling ab-straction and expressiveness in a knowledge domain.”"
Age,age,age,the estimated age in years of the individual in the photo,http://vis-www.cs.umass.edu/lfw/,"E. Learned-Miller, G. B. Huang, A. RoyChowdhury, H. Li, and G. Hua, “Labeled faces in the wild: A survey,” in Advances in face detection and facial image analysis. Springer, 2016, pp. 189–248."
Age Range,age range,age_range,"the space or extent included, covered, or used to describe age",https://www.merriam-webster.com/dictionary/range,"“Range,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/range. [Accessed: 19-Nov-2018]."
Alignment,alignment,alignment,arrangment in correct or appropriate relative positions,,"“alignment | Definition of alignment in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/alignment. [Accessed: 06-Oct-2018]."
Arched Eyebrows,arched eyebrows,arched_eyebrows,eyebrows that are in the form of arches,,"“arched| Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/arched. [Accessed: 13-Oct-2018]."
Asian,asian,asian,"categorized as ""Asian"" by the LFW tags",,
Attractive Man,attractive man,attractive_man,"a man whose face adheres to scientific beauty standards (golden ratio, horizontal face symmetry)",,
Attractive Woman,attractive woman,attractive_woman,"a woman whose face adheres to scientific beauty standards (golden ratio, horizontal face symmetry)",,
Attractiveness,attractiveness,attractiveness,"whether or not a person's face adheres to scientific beauty standards (golden ratio, horizontal face symmetry)",,"N. Kumar, A. Berg, P. N. Belhumeur, and S. Nayar, “Describable visual attributes for face verification and image search,” IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 33, no. 10, pp. 1962–1977, 2011."
Auicle Occlusion,auricle occlusion,auricle_occlusion,occlusion of the ears,,"“Facial Region,” The Free Dictionary. [Online]. Available: https://medical-dictionary.thefreedictionary.com/facial region. [Accessed: 03-Nov-2018]."
Baby,baby,baby,person from age 0 to 1 years old,,"N. Geifman and E. Rubin, “The Age-Phenome Knowledgebase: an example to handling ab-straction and expressiveness in a knowledge domain.”"
Bagginess,bagginess,bagginess,mild swelling or puffiness under the eyes,https://www.mayoclinic.org/diseases-conditions/bags-under-eyes/symptoms-causes/syc-20369927,"“Bags under eyes,” Mayo Clinic, 26-Jan-2018. [Online]. Available: https://www.mayoclinic.org/diseases-conditions/bags-under-eyes/symptoms-causes/syc-20369927. [Accessed: 09-Nov-2018]."
Balanced Lighting Variation,balanced lighting varation,balanced_lighting_varation,both small light source in close proximity relative to the subject and large light source in distant proximity relative to the subject,,
Bald,balding,balding,having a scalp wholly lacking hair,,"“bald| Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/bald. [Accessed: 13-Oct-2018]."
Balding,balding,balding,baldness typically appears first at the hairline or top of the head,https://www.mayoclinic.org/diseases-conditions/hair-loss/multimedia/male-pattern-baldness/img-20005838,"“Male-pattern baldness,” Mayo Clinic. [Online]. Available: https://www.mayoclinic.org/diseases-conditions/hair-loss/multimedia/male-pattern-baldness/img-20005838. [Accessed: 09-Nov-2018]."
Bangs,bangs,bangs,whether or not person has hair covering their forehead,,
Beard,beard,beard,growth of hair on the chin and lower cheeks of a man's face,,"“beard | Definition of beard in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/beard. [Accessed: 13-Oct-2018]."
Big,big,big,"large or great in dimensions, bulk, or extent",https://www.merriam-webster.com/dictionary/big,"“Big,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/big. [Accessed: 09-Nov-2018]."
Big Lips,big lips,big_lips,the subject has big lips,,
Black,black,black,"categorized as ""Black"" by the LFW tags",,
Black and White Image,black and white image,black_and_white_image,"an image having, showing, or producing pictures that do not have colors except for black, white, and shades of gray",,"“Black-and-white,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/black-and-white. [Accessed: 19-Nov-2018]."
Black Hair,black hair,black_hair,black hair,,N/A
Blond Hair,blond hair,blond_hair,fair or pale yellow hair,,"“blonde| Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/blonde. [Accessed: 13-Oct-2018]."
Blurry Image Fidelity,blurry image fidelity,blurry_image_fidelity,lower quality image showing signs of visible distortion or information loss,,"D. Silverstein and J. Farrell, “The relationship between image fidelity and image quality,” Proceedings of 3rd IEEE International Conference on Image Processing."
Brown,brown,brown,"any of a group of colors between red and yellow in hue, of medium to low lightness, and of moderate to low saturation",https://www.merriam-webster.com/dictionary/brown,"“Brown,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/brown. [Accessed: 09-Nov-2018]."
Brown hair,brown hair,brown_hair,brown hair,,N/A
BuccalOcclusion,buccal occlusion,buccal_occlusion,occlusion of the cheeks,,"“Facial Region,” The Free Dictionary. [Online]. Available: https://medical-dictionary.thefreedictionary.com/facial region. [Accessed: 03-Nov-2018]."
Bushy eyebrows,bushy eyebrows,bushy_eyebrows,eyebrows that are growing thickly,,"“bushy| Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/bushy. [Accessed: 13-Oct-2018]."
Candid Photo,candid photo,candid_photo,a photo in which the subject is acting naturally or spontaneously ,https://www.merriam-webster.com/dictionary/candid,"“Candid,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/candid. [Accessed: 19-Nov-2018]."
Canonical Pose,canonical pose,canonical_pose,pose that is accepted as accurate and authoratative,,"“canonical | Definition of canonical in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/canonical. [Accessed: 06-Oct-2018]."
Cascaded Convolutional Nueral Network,cascaded convolutional nueral network,cascaded_convolutional_neural_network,"convoluted nueral network that rejects false detections at the early, low resolution stages of execution and carefully verifies detections at the later, higher resolution stages",,"H. Li, Z. Lin, X. Shen, J. Brant, and G. Hua, “A Convolutional Neural Network Cascade for Face Detection.”"
CervicalOcclusion,cervical occlusion,cervical_occlusion,occlusion of the neck,,"“Facial Region,” The Free Dictionary. [Online]. Available: https://medical-dictionary.thefreedictionary.com/facial region. [Accessed: 03-Nov-2018]."
Cheek Feature,cheek feature,cheek_feature,feature of the fleshy side of the face below the eye and above and to the side of the mouth,https://www.merriam-webster.com/dictionary/cheek,"“Cheek,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/cheek. [Accessed: 09-Nov-2018]."
Child,child,child,person from age 1 to 5 years old,,"N. Geifman and E. Rubin, “The Age-Phenome Knowledgebase: an example to handling ab-straction and expressiveness in a knowledge domain.”"
Chin Feature,chin feature,chin_feature,feature of the lower portion of the face lying below the lower lip and including the prominence of the lower jaw,https://www.merriam-webster.com/dictionary/chin,"“Chin,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/chin. [Accessed: 09-Nov-2018]."
Chubby,chubby,chubby,"categorized as ""chubby"" by the LFW tags",,
Color,color,color,"a phenomenon of light (such as red, brown, pink, or gray) or visual perception that enables one to differentiate otherwise identical objects",,
Color Image,color image,color_image,an image produces useing media capable of reproducing colors,,"“Color photography,” Wikipedia, 19-Nov-2018. [Online]. Available: https://en.wikipedia.org/wiki/Color_photography. [Accessed: 19-Nov-2018]."
Convolutional Layer,convolutional layer,convolutional_layer,performs the convolution operation using a learned filter,,"D. Cornelisse, “An intuitive guide to Convolutional Neural Networks,” freeCodeCamp.org,
24-Apr-2018. [Online]. Available: 
https://medium.freecodecamp.org/an-intuitive-guide-to-convolutional-neural-networks-260c2de0a050.
[Accessed: 18-Oct-2018]. "
Convolutional Neural Network,convolutional neural network,convolutional_neural_network,a neural network that has one or more layers of learned weighted filters,,CS231n Convolutional Neural Networks for Visual Recognition. [Online]. Available: http://cs231n.github.io/convolutional-networks/. [Accessed: 06-Oct-2018].
CranialOcclusion,cranial occlusion,cranial_occlusion,"occlusion of the top of the head, above the ears",,"“Facial Region,” The Free Dictionary. [Online]. Available: https://medical-dictionary.thefreedictionary.com/facial region. [Accessed: 03-Nov-2018]."
Curly Hair,curly hair,curly_hair,hair that is arranged in curls or curves,,"“curly | Definition of curly in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/curly. [Accessed: 18-Oct-2018]."
Data Sample,data sample,data_sample,basic unit of data consumed by a machine learning model containing data features and a groundtruth label,,"10153068920222172, “About Train, Validation and Test Sets in Machine Learning,” Towards Data Science, 06-Dec-2017. [Online]. Available: https://towardsdatascience.com/train-validation-and-test-sets-72cb40cba9e7. [Accessed: 06-Oct-2018]."
Data Set,data set,,"collection of data samples used to train, validate, and test a machine learning model",,"10153068920222172, “About Train, Validation and Test Sets in Machine Learning,” Towards Data Science, 06-Dec-2017. [Online]. Available: https://towardsdatascience.com/train-validation-and-test-sets-72cb40cba9e7. [Accessed: 06-Oct-2018]."
Deep Congealing,deep congealing,deep_congealing,a combination of unsupervised image alignment and unsupervised feature learning that utilizes deep learning,,"S. Garner, “Learning to Program from Scratch,” 2009 Ninth IEEE International Conference on Advanced Learning Technologies, 2009."
Deep-funneled LFW,deep-funneled lfw,deep_funneled_lfw,an aligned LFW dataset aligned using unsupervised joint alignment combined with unsupervised feature learning,http://vis-www.cs.umass.edu/papers/nips2012_deep_congealing.pdf (See references for actual citation),"G. B. Huang, M. Mattar, H. Lee, and E. Learned-Miller, “Learning to align
from scratch,” in
NIPS, 2012."
Demographic,demographic,demographic,statistical data relating to the population and particular groups within it,,"“demographics| Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/demographics. [Accessed: 28-Oct-2018]."
Depicted Background,depicted background,depicted_background,"the ground or parts, as of a scene, situated in the rear",,
Different person,identity,identity,whether or not two images depict the same person,,
Discriminative Model,discriminative model,discriminative_model,collection of learned patterns used to discriminate which of several groups something belongs to,https://ai.stanford.edu/~ang/papers/nips01-discriminativegenerative.pdf,
Double Chin,double chin,double_chin,a fleshy or fatty fold under the chin,https://www.merriam-webster.com/dictionary/double%20chin,"“Double Chin,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/double chin. [Accessed: 09-Nov-2018]."
Earring,earring,earring,piece of jewellery worn on the lobe or edge of the ear,,"“earring| Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/earring. [Accessed: 13-Oct-2018]."
Engineered Features,engineered features,engineered_features,features manually developed by a programmer,,"F. Schroff, D. Kalenichenko, and J. Philbin, “Facenet: A unified embedding for face recognition and clustering,” in Proceedings of the IEEE conference on computer vision and pattern recognition , 2015, pp. 815–823."
Environment,environment,environment,a string that describes the setting in which a photo of an individual was taken,http://vis-www.cs.umass.edu/lfw/,"E. Learned-Miller, G. B. Huang, A. RoyChowdhury, H. Li, and G. Hua, “Labeled faces in the wild: A survey,” in Advances in face detection and facial image analysis. Springer, 2016, pp. 189–248."
Ethnicity,ethnicity,ethnicity,the ethnicity of the individual in the photo,http://vis-www.cs.umass.edu/lfw/,"E. Learned-Miller, G. B. Huang, A. RoyChowdhury, H. Li, and G. Hua, “Labeled faces in the wild: A survey,” in Advances in face detection and facial image analysis. Springer, 2016, pp. 189–248."
Expression variation,expression variation,expression_variation,the range of facial states that humans exhibt,,"“What are 7 Universal Facial Expressions? An Introduction to the Science.,” EIA Group (UK), 18-May-2018. [Online]. Available: https://www.eiagroup.com/2018/04/16/facial-expressions-explored/. [Accessed: 06-Oct-2018]."
Eye,eye,eye,"a specialized light-sensitive sensory structure of animals that in nearly all vertebrates, most arthropods, and some mollusks is the image-forming organ of sight",https://www.merriam-webster.com/dictionary/eye,"“Eye,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/eye. [Accessed: 09-Nov-2018]."
Eye Color,eye color,eye_color,the color of an eye,http://vis-www.cs.umass.edu/lfw/,"E. Learned-Miller, G. B. Huang, A. RoyChowdhury, H. Li, and G. Hua, “Labeled faces in the wild: A survey,” in Advances in face detection and facial image analysis. Springer, 2016, pp. 189–248."
Eye Feature,eye feature,eye_feature,"a feaure of the specialized light-sensitive sensory structure of animals that in nearly all vertebrates, most arthropods, and some mollusks is the image-forming organ of sight",https://www.merriam-webster.com/dictionary/eye,"“Eye,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/eye. [Accessed: 09-Nov-2018]."
Eye Shape,eye shape,eye_shape,the shape of the subject's eyes,,
Eyebrow,eyebrow,eyebrow,the ridge over the eye or the hair growing usually in a line or arch on the skin over it,https://www.merriam-webster.com/dictionary/eyebrow,"“Eyebrow,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/eyebrow. [Accessed: 09-Nov-2018]."
Eyebrow Thickness,eyebrow thickness,eyebrow_thickness,the thickness of the eyebrows belonging to the individual in the photo,http://vis-www.cs.umass.edu/lfw/,"E. Learned-Miller, G. B. Huang, A. RoyChowdhury, H. Li, and G. Hua, “Labeled faces in the wild: A survey,” in Advances in face detection and facial image analysis. Springer, 2016, pp. 189–248."
Eyebrow Type,eyebrow type,eyebrow_type,the features of a person's eyebrows,,
Eyeglasses,eyeglasses,eyeglasses,set of two lenses for correcting or assisting defective eyesight,,"“eyeglass| Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/eyeglass. [Accessed: 19-Oct-2018]."
Eyewear,eyewear,eyewear,things worn on the eyes,,"“eyewear| Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/eyewear. [Accessed: 13-Oct-2018]."
Face,face,face,"the front of a animal's head that features the eyes, nose, and mouth",https://en.wikipedia.org/wiki/Face,"“Face,” Wikipedia, 16-Aug-2018. [Online]. Available: https://en.wikipedia.org/wiki/Face. [Accessed: 06-Oct-2018]."
Face Shape,face shape,face_shape,The shape of the subject's face,,
Facial Expression,facial expression,facial_expression,the expression the subject is making in the photo,,
Facial Feature,facial feature,facial_feature,"a feature of the front of a animal's head that features the eyes, nose, and mouth",https://en.wikipedia.org/wiki/Face,"“Face,” Wikipedia, 16-Aug-2018. [Online]. Available: https://en.wikipedia.org/wiki/Face. [Accessed: 06-Oct-2018]."
Facial hair,facial hair,,hair on a person's face,,
Facial hair type,facial hair type,facial_hair_type,a person's facial hair or lack thereof,,
Female,female,female,"categorized as ""female"" by the LFW tags",,
Feminine,feminine,feminine,characteristic of or appropriate or unique to women,https://www.merriam-webster.com/dictionary/feminine,"“Feminine,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/feminine. [Accessed: 09-Nov-2018]."
Fforehead Visiblity,fforehead visiblity,fforehead_visiblity,amount of the subject's forehead that can be seen in the photo,,
File Extension,file extension,file_extension,the extension of the image file,,
Filepath,filepath,filepath,the absolute filepath of the image file on a local filesystem,,
Finish,finish,finish,the final treatment or coating of a surface,https://www.merriam-webster.com/dictionary/finish,"“Finish,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/finish. [Accessed: 09-Nov-2018]."
Five OClock shadow,five oclock shadow,five_oclock_shadow,dark stubble that appears on a man's face some hours after shaving,,"“Five o'clock shadow,” Dictionary.com. [Online]. Available: https://www.dictionary.com/browse/five-o-clock-shadow. [Accessed: 13-Oct-2018]."
Flash Lighting Variation,flash lighting variation,flask_lighting_variation,whether or not the system classifies a photo as using camera flash to illuminate the subject,http://vis-www.cs.umass.edu/lfw/,"E. Learned-Miller, G. B. Huang, A. RoyChowdhury, H. Li, and G. Hua, “Labeled faces in the wild: A survey,” in Advances in face detection and facial image analysis. Springer, 2016, pp. 189–248."
Flushed,flushed,flushed,excited or elated by something,,
Flushed Skin,flushed skin,flushed_skin,skin that is flushed as labeled by LFW,,
frma:fidelityDescribedBy,fidelity described by,fidelity_described_by,the fidelity of this image,,
frma:lightingDescribedBy,lighting described by,lighting_described_by,the lighting characteristics of this image,,
FrontalOcclusion,frontal occlusion,frontal_occlusion,occlusion of the forehead,,"“Facial Region,” The Free Dictionary. [Online]. Available: https://medical-dictionary.thefreedictionary.com/facial region. [Accessed: 03-Nov-2018]."
Frowning,frowning,frowning,the subject's mouth is in the shape of a frown,,
Fully Connected Layer,fully connected layer,fully_connected_layer,summation across the products of the learned bias and the previous layer passed through an activation function,,"D. Cornelisse, “An intuitive guide to Convolutional Neural Networks,” freeCodeCamp.org,
24-Apr-2018. [Online]. Available: 
https://medium.freecodecamp.org/an-intuitive-guide-to-convolutional-neural-networks-260c2de0a050.
[Accessed: 18-Oct-2018]. "
Fully Visible Forehead,fully visible forehead,fully_visible_forehead,the subject's forehead is fully visible in the photo,,
Funneled LFW data set,funneled lfw data set,funneled_lfw_data_set,an aligned LFW dataset aligned using unsupervised joint alignment ,,"G. B. Huang, V. Jain, and E. Learned-Miller, “Unsupervised joint alignment
of complex images,” in
ICCV, 2007."
Gender,gender,gender,whether a person is male or female,,"N. Kumar, A. Berg, P. N. Belhumeur, and S. Nayar, “Describable visual attributes for face verification and image search,” IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 33, no. 10, pp. 1962–1977, 2011."
Gender Expression,gender expression,gender_expression,the physical and behavioral manifestations of one's gener identity,,"TWed Talk: Katie Chastain on ""Breaking the Gender Schema"" (6p, 24 Oct), 24-Oct-2018. [Online]. Available: https://www.youtube.com/watch?v=OQsXqJBZ3mQ. [Accessed: 28-Oct-2018]."
Glasses,glasses,glasses,a device used to correct defects of vision or to protect the eyes that consists typically of a pair of glass or plastic lenses and the frame by which they are held in place,https://www.merriam-webster.com/dictionary/glasses,"“Glasses,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/glasses. [Accessed: 09-Nov-2018]."
Goatee,goatee,goatee,small pointed beard like that of a goat,,"“goatee| Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/goatee. [Accessed: 13-Oct-2018]."
Gray hair,gray hair,gray_hair,gray hair,,N/A
Hair,hair,,fine threadlike strands growing from a person's skin,,"“hair | Definition of hair in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/hair. [Accessed: 18-Oct-2018]."
Hair Color,hair color,hair_color,the color of a person's hair,,"N. Kumar, A. Berg, P. N. Belhumeur, and S. Nayar, “Describable visual attributes for face verification and image search,” IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 33, no. 10, pp. 1962–1977, 2011."
Hair Texture,hair texture,hair_texture,the visual or tactile surface characteristics and appearance of hair,https://www.merriam-webster.com/dictionary/texture,"“Texture,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/texture. [Accessed: 09-Nov-2018]."
Haircut,haircut,haircut,a way of wearing the hair,https://www.merriam-webster.com/dictionary/hairdo,"“Hairdo,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/hairdo. [Accessed: 09-Nov-2018]."
Harsh Lighting Variation,harsh lighting variation,harsh_lighting_variation,small light source in close proximity relative to the subject,https://en.wikipedia.org/wiki/Hard_and_soft_light,"“Hard and soft light,” Wikipedia, 04-Nov-2018. [Online]. Available: https://en.wikipedia.org/wiki/Hard_and_soft_light. [Accessed: 19-Nov-2018]."
has,has,has,"possesses, owns, or holds",,"“have | Definition of have in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/have. [Accessed: 20-Oct-2018]."
hasActivationFunction,has activation function,has_activation_function,links a fully connected layer to the activation function used by the neurons,,"F. Schroff, D. Kalenichenko, and J. Philbin, “Facenet: A unified embedding for face recognition and clustering,” in Proceedings of the IEEE conference on computer vision and pattern recognition , 2015, pp. 815–823."
hasColor,has color,has_color,relates an object to its color,,
hasDemographic,has demographic,has_demographic,relates the demograophic properties to a person who exhibts them,,
hasDimension,has dimension,has_dimension,the number of functions with a layer,,"F. Schroff, D. Kalenichenko, and J. Philbin, “Facenet: A unified embedding for face recognition and clustering,” in Proceedings of the IEEE conference on computer vision and pattern recognition , 2015, pp. 815–823."
hasFeature,hasfeature,hasfeature,links an entity to the data characteristics,,"F. Schroff, D. Kalenichenko, and J. Philbin, “Facenet: A unified embedding for face recognition and clustering,” in Proceedings of the IEEE conference on computer vision and pattern recognition , 2015, pp. 815–823."
hasIndex,has index,has_index,the position of the layer in the model,,"F. Schroff, D. Kalenichenko, and J. Philbin, “Facenet: A unified embedding for face recognition and clustering,” in Proceedings of the IEEE conference on computer vision and pattern recognition , 2015, pp. 815–823."
hasMatrixSizeX,has matrix size x,has_matrix_size_x,the number of columns in a matrix,,"F. Schroff, D. Kalenichenko, and J. Philbin, “Facenet: A unified embedding for face recognition and clustering,” in Proceedings of the IEEE conference on computer vision and pattern recognition , 2015, pp. 815–823."
hasMatrixSizeY,has matrix size x,has_matrix_size_x,the number of rows in a matrix,,"F. Schroff, D. Kalenichenko, and J. Philbin, “Facenet: A unified embedding for face recognition and clustering,” in Proceedings of the IEEE conference on computer vision and pattern recognition , 2015, pp. 815–823."
hasOcclusion,has occlusion,has_occlusion,the state of an image being affected by some occlusion,https://www.merriam-webster.com/dictionary/occlusion,"“Occlusion,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/occlusion. [Accessed: 19-Nov-2018]."
hasPoolingFunction,has pooling function,has_pooling_function,links a pooling layer to the pooling function used by the neurons,,"F. Schroff, D. Kalenichenko, and J. Philbin, “Facenet: A unified embedding for face recognition and clustering,” in Proceedings of the IEEE conference on computer vision and pattern recognition , 2015, pp. 815–823."
hasRBG,has rgb,has_rgb,"if an image can be expressed using three-color model using red, green, and blue light",https://www.merriam-webster.com/dictionary/RGB,"“Rgb,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/RGB. [Accessed: 19-Nov-2018]."
hasSize,has size,has_size,relates an object to a description of its size,,
hasSize,has size,has_size,relates an object to its size,,
hasStrongMouthNoseLines,has strong mouth nose lines,has_strong_mouth_nose_lines,the subject's nose mouth lines are highly visible,,
hasVisualFeature,has visual feature,has_visual_feature,relates a visual feature to the object exhibiting it,,
