concept,label,identifier,,source,citation
Hat,hat,hat,shaped covering for the head,,"“hat| Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/hat. [Accessed: 13-Oct-2018]."
Head Hair,Head Hair,,hair on a person's head,,
Head Hair Type,head hair type,head_hair_type,a person's head hair or lack thereof,,
Headwear,headwear,headwear,items worn on the head,,"“headwear| Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/headwear. [Accessed: 13-Oct-2018]."
Heavy Makeup,heavy makeup,heavy_makeup,great density of makeup,,"“heavy| Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/heavy. [Accessed: 13-Oct-2018]."
High Cheekbone,high cheekbone,high_cheekbone,a high prominence below the eye that is formed by the zygomatic bone,https://www.merriam-webster.com/dictionary/cheekbone,"“Cheekbone,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/cheekbone. [Accessed: 09-Nov-2018]."
Image Fidelity,image fidelity,image_fidelity,the measurable quality of an image,,
Image ID,image id,image_id,the unique identifier of the image,,
Image Quality,image quality,image_quality,"how defined the image is in terms of pixels(low, medium, high)",,"N. Kumar, A. Berg, P. N. Belhumeur, and S. Nayar, “Describable visual attributes for face verification and image search,” IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 33, no. 10, pp. 1962–1977, 2011."
Image-Restricted no outside data,image-restricted no outside data,image_restricted_no_outside_data,the LFW data set with image pairs that have been tagged with same/different person but no outside data,"“Results,” LFW : Results. [Online]. Available: http://vis-www.cs.umass.edu/lfw/results.html. [Accessed: 06-Oct-2018].","“Results,” LFW : Results. [Online]. Available: http://vis-www.cs.umass.edu/lfw/results.html. [Accessed: 06-Oct-2018]."
Inception Layer,inception layer,inception_layer,perfroms multiple convolutions and pooling operations in parallel,,"F. Schroff, D. Kalenichenko, and J. Philbin, “Facenet: A unified embedding for face recognition and clustering,” in Proceedings of the IEEE conference on computer vision and pattern recognition , 2015, pp. 815–823."
Indian,indian,indian,"categorized as ""Indian"" by the LFW tags",,
Indoors,indoors,indoors,whether or not the image was taken indoors,,
isAttractive,is attractive,is_attractive,arousing interest or pleasure,https://www.merriam-webster.com/dictionary/attractive,"“Attractive,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/attractive. [Accessed: 09-Nov-2018]."
isHeavyMakeup,is heavy makeup,is_heavy_makeup,the attribute of an application of makeup being of great density,,"“heavy| Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/heavy. [Accessed: 13-Oct-2018]."
isOcclusionSourceOf,is the occlusion source of,is_the_occlusion_source_of,is the source and/or causes of a specific occlusion on an image of a face,,
isWearing,is wearing,is_wearing,the state of a Person wearing a Wearable object,,
Jaw,jaw,jaw,"section of the face containing the lower, movable bone of the mouth",,
Jaw Shape,jaw shape,jaw_shape,"the angle a person's jaw makes with the side of their face (sharp, smooth)",,
Jewelry,jewelry,jewelry,"personal ornaments, such as necklaces, rings, or bracelets, that are typically made from or contain jewels and precious metal",,"“jewelry| Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/jewelry. [Accessed: 13-Oct-2018]."
Joint-Bayesian,joint-bayesian,joint_bayesian,a method of machine learning the utilizes Join-Bayesian theory,,"E. Learned-Miller, G. B. Huang, A. RoyChowdhury, H. Li, and G. Hua, “Labeled faces in the wild: A survey,” in Advances in face detection and facial image analysis. Springer, 2016, pp. 189–248."
Labeled Faces in the Wild-a,labeled faces in the wild-a,labeled_faces_in_the_wild_a,"an aligned LFW dataset in greyscale, created using an unpublished commercial face centering software",https://talhassner.github.io/home/projects/lfwa/,"Lior Wolf, Tal Hassner, and Yaniv Taigman, Effective Face Recognition by Combining Multiple Descriptors and Learned Background Statistics, IEEE Trans. on Pattern Analysis and Machine Intelligence (TPAMI), 33(10), Oct. 2011
Lior Wolf, Tal Hassner and Yaniv Taigman, Similarity Scores based on Background Samples, Asian Conference on Computer Vision (ACCV), Xi' an, Sept 2009
Yaniv Taigman, Lior Wolf and Tal Hassner, Multiple One-Shots for Utilizing Class Label Information, The British Machine Vision Conference (BMVC), London, Sept 2009"
Landmark-based methods,landmark-based methods,landmark-based_methods,a method of image feature detection based around identifying landmarks in images,,"E. Learned-Miller, G. B. Huang, A. RoyChowdhury, H. Li, and G. Hua, “Labeled faces in the wild: A survey,” in Advances in face detection and facial image analysis. Springer, 2016, pp. 189–248."
Layer,layer,layer,collection of functions at the same depth within a neural network,,Neural Networks. [Online]. Available: https://www.doc.ic.ac.uk/~nd/surprise_96/journal/vol4/cs11/report.html#What is a Neural Network. [Accessed: 18-Oct-2018].
Lighting Variation,lighting variation,lighting_variation,the lighting characteristics of this image,http://vis-www.cs.umass.edu/lfw/,"E. Learned-Miller, G. B. Huang, A. RoyChowdhury, H. Li, and G. Hua, “Labeled faces in the wild: A survey,” in Advances in face detection and facial image analysis. Springer, 2016, pp. 189–248."
Lighting Variation,lighting variation,lighting_variation,images have differening levels and locations of brightness,,"T. Chen, W. Yin, X. S. Zhou, D. Comaniciu, and T. S. Huang, “Total variation models for variable lighting face recognition,” IEEE transactions on pattern analysis and machine intelligence, vol. 28, no. 9, pp. 1519–1524, 2006."
lio:Image,lio:image,image,Any PictorialElement that is considered to be a complete image,,
lio:PictorialElement,lio:pictorialelement,pictorial_element,"any visual entity; any graphical item, part, or visual property of an image or part of an image, including the image itself",,
Lip Size,lip size,lip_size,the size of the subject's lips,,
Lipstick,lipstick,lipstick,coloured cosmetic applied to the lips from a small solid stick,,"“lipstick| Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/lipstick. [Accessed: 13-Oct-2018]."
Low Resolution,low resolution,low_resolution,images with a resolution equal to or lower than 220 x 220,,"F. Schroff, D. Kalenichenko, and J. Philbin, “Facenet: A unified embedding for face recognition and clustering,” in Proceedings of the IEEE conference on computer vision and pattern recognition , 2015, pp. 815–823."
Lowerface Occlusion,lowerface occlusion,lowerface_occlusion,obstruction that covers below the nose,,"“lower| Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/lower. [Accessed: 28-Oct-2018]."
Makeup,makeup,makeup,Cosmetics applied to the face that are used to enhance or alter its appearance,,"“make-up| Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/make-up. [Accessed: 19-Oct-2018]."
Male,male,male,"categorized as ""male"" by the LFW tags",,
Markov Random Fields,markov random fields,markov_random_fields,a method of machine learning that utilizes Markov Random Fields theory,,"E. Learned-Miller, G. B. Huang, A. RoyChowdhury, H. Li, and G. Hua, “Labeled faces in the wild: A survey,” in Advances in face detection and facial image analysis. Springer, 2016, pp. 189–248."
Masculine,masculine,masculine,having qualities appropriate to or usually associated with a man,https://www.merriam-webster.com/dictionary/masculine,"“Masculine,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/masculine. [Accessed: 09-Nov-2018]."
Medium,medium,medium,a middle condition or degree,https://www.merriam-webster.com/dictionary/medium,"“Medium,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/medium. [Accessed: 09-Nov-2018]."
MentalOcclusion,mental occlusion,mental_occlusion,occlusion of the chin,,"“Facial Region,” The Free Dictionary. [Online]. Available: https://medical-dictionary.thefreedictionary.com/facial region. [Accessed: 03-Nov-2018]."
Middle Aged,middle aged,middle_aged,person from age 45 to 64,,"N. Geifman and E. Rubin, “The Age-Phenome Knowledgebase: an example to handling ab-straction and expressiveness in a knowledge domain.”"
Model Accuracy,model accuracy,model_accuracy,percentage of correct results when running the model on a test data set,http://vis-www.cs.umass.edu/lfw/,"E. Learned-Miller, G. B. Huang, A. RoyChowdhury, H. Li, and G. Hua, “Labeled faces in the wild: A survey,” in Advances in face detection and facial image analysis. Springer, 2016, pp. 189–248."
Mole,mole,mole,whether or not the individual in the photo has a facial mole,http://vis-www.cs.umass.edu/lfw/,"E. Learned-Miller, G. B. Huang, A. RoyChowdhury, H. Li, and G. Hua, “Labeled faces in the wild: A survey,” in Advances in face detection and facial image analysis. Springer, 2016, pp. 189–248."
Mouth,mouth,mouth,"opening in the lower part of the human face, surrounded by the lips",,
Mouth Closed,mouth closed,mouth_closed,the subject's mouth is closed,,
Mouth Open State,mouth open state,mouth_open_state,mouth shape,,
Mouth Shape,mouth shape,mouth_shape,the shape of the mouth belonging to the individual in the photo,http://vis-www.cs.umass.edu/lfw/,"E. Learned-Miller, G. B. Huang, A. RoyChowdhury, H. Li, and G. Hua, “Labeled faces in the wild: A survey,” in Advances in face detection and facial image analysis. Springer, 2016, pp. 189–248."
Mouth Slightly Open,mouth slightly open,mouth_slightly_open,the subject's mouth is slightly open,,
Mouth Wide Open,mouth wide open,mouth_wide_open,the subject's mouth is wide open,,
Mustache,mustache,mustache,whether or not the individual in the photo has a mustache,http://vis-www.cs.umass.edu/lfw/,"E. Learned-Miller, G. B. Huang, A. RoyChowdhury, H. Li, and G. Hua, “Labeled faces in the wild: A survey,” in Advances in face detection and facial image analysis. Springer, 2016, pp. 189–248."
Narrow Eyes,narrow eyes,narrow_eyes,the subject's eyes appear narrow,,
NasalOcclusion,nasal occlusion,nasal_occlusion,occlusion of the nose,,"“Facial Region,” The Free Dictionary. [Online]. Available: https://medical-dictionary.thefreedictionary.com/facial region. [Accessed: 03-Nov-2018]."
Necklace,necklace,necklace,"ornamental chain or string of beads, jewels, or links worn round the neck",,"“necklace| Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/necklace. [Accessed: 13-Oct-2018]."
Necktie,necktie,necktie,"strip of material worn round the collar and tied in a knot at the front with the ends hanging down, typically forming part of a man's smart or formal outfit",,"“tie| Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/tie. [Accessed: 13-Oct-2018]."
Neural Network,neural network,neural_network,machine learning model that is composed of one or more neural layers where each layer is fully connected to the previous layer,,Neural Networks. [Online]. Available: https://www.doc.ic.ac.uk/~nd/surprise_96/journal/vol4/cs11/report.html#What is a Neural Network. [Accessed: 18-Oct-2018].
No Beard,no beard,no_beard,the absence of growth of hair on the chin and lower cheeks of a man's face,,"“beard | Definition of beard in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/beard. [Accessed: 13-Oct-2018]."
Nose,nose,nose,"part of the face projecting above the mouth on the face of a person or animal, containing the nostrils and used for breathing and smelling",,
Nose Mouth Lines,nose mouth lines,nose_mouth_lines,lines between the mouth and nose,,
Nose Shape,nose shape,nose_shape,the shape of the part of the face that bears the nostrils and covers the anterior part of the nasal cavity,https://www.merriam-webster.com/dictionary/nose,"“Nose,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/nose. [Accessed: 09-Nov-2018]."
Obstructed Forehead,obstructed forehead,obstructed_forehead,the subject's forehead is obstructed in the photo,,
OccludingWearableThing,wearable,wearable,item that can be worn and is an occlusion source on images of the wearer,,"“wearable| Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/wearable. [Accessed: 13-Oct-2018]."
Occlusion,occlusion,occlusion,a segment of an image where the depicted enity is blocked from view,,"M. Johnson and A. Savakis, “Fast l 1-eigenfaces for robust face recogntion,” in
Image and Signal Processing Workshop (WNYISPW), 2014 IEEE Western New York. IEEE, 2014, pp. 1–5"
OcularOcclusion,ocular occlusion,ocular_occlusion,occlusion of the eyes,,"“Facial Region,” The Free Dictionary. [Online]. Available: https://medical-dictionary.thefreedictionary.com/facial region. [Accessed: 03-Nov-2018]."
Open,open,open,eyes are not covered by eyelids,https://www.merriam-webster.com/dictionary/open,"“Open,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/open. [Accessed: 09-Nov-2018]."
OralOcclusion,oral occlusion,oral_occlusion,occlusion of the lips and mouth,,"“Facial Region,” The Free Dictionary. [Online]. Available: https://medical-dictionary.thefreedictionary.com/facial region. [Accessed: 03-Nov-2018]."
Ornament,ornament,ornament,thing used or serving to make something look more attractive but usually having no practical purpose,,"“ornament| Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/ornament. [Accessed: 19-Oct-2018]."
Outdoors,outdoors,outdoors,whether or not the image was taken outdoors,,
Oval Face,oval face,oval_face,the shape of the subject's face appears oval shaped,,
Pale,pale,pale,has little color,,
Pale Skin,pale skin,pale_skin,skin that is pale as labeled by LFW,,
ParotidOcclusion,parotid occlusion,parotid_occlusion,occlusion of the angle of the jaw,,"“Facial Region,” The Free Dictionary. [Online]. Available: https://medical-dictionary.thefreedictionary.com/facial region. [Accessed: 03-Nov-2018]."
Part Labels,part labels,part_labels,labels used to describe facial features,http://vis-www.cs.umass.edu/lfw/,"E. Learned-Miller, G. B. Huang, A. RoyChowdhury, H. Li, and G. Hua, “Labeled faces in the wild: A survey,” in Advances in face detection and facial image analysis. Springer, 2016, pp. 189–248."
Partially Visible Forehead,partially visible forehead,partially_visible_forehead,the subject's forehead is partially visible in the photo,,
Person,person,person,human being,,
Pointy,pointy,pointy,having a pointy tip or end,,
Pointy Nose,pointy nose,pointy_nose,the node is comes to a rather sharp point,https://www.merriam-webster.com/dictionary/pointy,"“Pointy,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/pointy. [Accessed: 19-Nov-2018]."
Pooling Layer,pooling layer,pooling_layer,perfroms the max function across the previous layer,,"D. Cornelisse, “An intuitive guide to Convolutional Neural Networks,” freeCodeCamp.org,
24-Apr-2018. [Online]. Available: 
https://medium.freecodecamp.org/an-intuitive-guide-to-convolutional-neural-networks-260c2de0a050.
[Accessed: 18-Oct-2018]. "
Pose,pose,pose,combination of position and orientation,,"“Pose (computer vision),” Wikipedia, 03-Oct-2018. [Online]. Available: https://en.wikipedia.org/wiki/Pose_(computer_vision). [Accessed: 06-Oct-2018]."
Pose Invariance,Pose Invariance,pose_invariance,facial angle and postion do not effect model accuracy,,"C. Ding and D. Tao, “A comprehensive survey on pose-invariant face recognition,” ACM Transactions on intelligent systems and technology (TIST), vol. 7, no. 3, p. 37, 2016"
Pose Variation,pose variation,pose_variation,facial angle and postion change across images,,"M. Johnson and A. Savakis, “Fast l 1-eigenfaces for robust face recogntion,” in Image and Signal Processing Workshop (WNYISPW), 2014 IEEE Western New York. IEEE, 2014, pp. 1–5"
Posed Photo,posed photo,posed_photo,assumes a posture or attitude usually for artistic purposes,https://www.merriam-webster.com/dictionary/pose,"“Pose,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/pose. [Accessed: 19-Nov-2018]."
Prediction,prediction,prediction,"the act of foretelling on the basis of observation, experience, or scientific reason",https://www.merriam-webster.com/dictionary/prediction,"“Prediction,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/prediction. [Accessed: 19-Nov-2018]."
prov:Activity,activity,activity,"an activity is something that occurs over a period of time and acts upon or with entities; it may include consuming, processing, transforming, modifying, relocating, using, or generating entities.",,PROV-O: The PROV Ontology. [Online]. Available: https://www.w3.org/TR/prov-o/. [Accessed: 18-Oct-2018]. 
prov:Collection,collection,collection,"a collection is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the collections.",,PROV-O: The PROV Ontology. [Online]. Available: https://www.w3.org/TR/prov-o/. [Accessed: 18-Oct-2018]. 
prov:Entity,entity,entity,"an entity is a physical, digital, conceptual, or other kind of thing with some fixed aspects; entities may be real or imaginary. ",,PROV-O: The PROV Ontology. [Online]. Available: https://www.w3.org/TR/prov-o/. [Accessed: 18-Oct-2018]. 
prov:generated,generated,generated,is the completion of production of a new entity by an activity,,PROV-O: The PROV Ontology. [Online]. Available: https://www.w3.org/TR/prov-o/. [Accessed: 18-Oct-2018]. 
prov:hadMember,had member,had_member,links an entity to a collection that it is part of,,PROV-O: The PROV Ontology. [Online]. Available: https://www.w3.org/TR/prov-o/. [Accessed: 18-Oct-2018]. 
prov:used,used,used,the beginning of utilizing an entity by an activity,,PROV-O: The PROV Ontology. [Online]. Available: https://www.w3.org/TR/prov-o/. [Accessed: 18-Oct-2018]. 
prov:value,value,value,provides a value that is a direct representation of an entity,,PROV-O: The PROV Ontology. [Online]. Available: https://www.w3.org/TR/prov-o/. [Accessed: 18-Oct-2018]. 
Receding hairline,receding hairline,receding_hairline,the ceasing of hair growth at the temples and above the forehead,,
Result,result,result,a prediction that links data features to a predicted result,,"“Evaluating ML Models,” Amazon. [Online]. Available: https://docs.aws.amazon.com/machine-learning/latest/dg/evaluating_models.html. [Accessed: 18-Oct-2018]."
Result Set,result set,result_set,collection of predictions generated by a machine learning model during testing,,"“Evaluating ML Models,” Amazon. [Online]. Available: https://docs.aws.amazon.com/machine-learning/latest/dg/evaluating_models.html. [Accessed: 18-Oct-2018]."
RGB Color,rgb color,rgb_color,"a color represented with a three-color model using red, green, and blue light",https://www.merriam-webster.com/dictionary/RGB,"“Rgb,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/RGB. [Accessed: 19-Nov-2018]."
Rosy Cheek,rosy cheek,rosy_cheek,redness in the cheecks occurring as a result of blood vessels widening near the surface of the skin,https://www.medicalnewstoday.com/articles/322808.php,"J. Fletcher, “Rosy cheeks: Causes and what to do,” Medical News Today. [Online]. Available: https://www.medicalnewstoday.com/articles/322808.php. [Accessed: 19-Nov-2018]."
round face,round face,round_face,the shape of the subject's face appears round,,
Round Jaw,round jaw,round_jaw,The subject is tagged as having a round jaw,,
Senior,senior,senior,person from age 65 and up,,"N. Geifman and E. Rubin, “The Age-Phenome Knowledgebase: an example to handling ab-straction and expressiveness in a knowledge domain.”"
Sharp Image Fidelity,sharp image fidelity,sharp_image_fidelity,high quality image showing little to no signs of visible distortion or information loss,,"D. Silverstein and J. Farrell, “The relationship between image fidelity and image quality,” Proceedings of 3rd IEEE International Conference on Image Processing."
Shiny,shiny,shiny,reflective,,
Shiny Skin,shiny skin,shiny_skin,skin that is shiny as labeled by LFW,,
Sideburn,sideburn,sideburn,strip of hair grown by a man down each side of the face in front of his ears,,"“sideburn| Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/sideburn. [Accessed: 13-Oct-2018]."
Size,size,size,how large an object is,,
Skin,skin,skin,the external limiting tissue layer of an animal body,https://www.merriam-webster.com/dictionary/skin,"“Skin.” Merriam-Webster, Merriam-Webster, www.merriam-webster.com/dictionary/skin."
Skin Tone,skin tone,skin_tone,color quality or value of skin,https://www.merriam-webster.com/dictionary/tone,"“Tone,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/tone. [Accessed: 19-Nov-2018]."
Small,small,small,having comparatively little size or slight dimensions,https://www.merriam-webster.com/dictionary/small,"“Small,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/small. [Accessed: 19-Nov-2018]."
Small Lips,small lips,small_lips,the subject has small lips,,
Smiling,smiling,smiling,the subject's mouth is in the shape of a smile,,
Smiling,mouth expression,mouth_expression,whether a person's mouth is curved upwards or not,,
Soft Lighting Variation,soft lighting variation,soft_lighting_variation,large light source in distant proximity relative to the subject,https://en.wikipedia.org/wiki/Hard_and_soft_light,"“Hard and soft light,” Wikipedia, 04-Nov-2018. [Online]. Available: https://en.wikipedia.org/wiki/Hard_and_soft_light. [Accessed: 19-Nov-2018]."
Square Face,square face,square_face,the shape of the subject's face appears square,,
Straight Hair,straight hair,straight_hair,hair that is not curly or wavy,,"“straight| Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/straight. [Accessed: 13-Oct-2018]."
Strong Nose Mouth Line,strong nose mouth line,strong_nose_mouth_line,the subject's nose mouth lines are highly visible,,
Sunglasses,sunglasses,sunglasses,glasses tinted to protect the eyes from sunlight or glare,,"“sunglasses| Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/sunglasses. [Accessed: 19-Oct-2018]."
Teeth Not Visible,teeth not visible,teeth_not_visible,the subject's teeth are not visible,,
Teeth Visibility,teeth visibility,teeth_visibility,whether the subject's teeth are visible in the photo,,
Test Set,test set,test_set,data samples used to provide an unbiased evaluation of a final model,,"10153068920222172, “About Train, Validation and Test Sets in Machine Learning,” Towards Data Science, 06-Dec-2017. [Online]. Available: https://towardsdatascience.com/train-validation-and-test-sets-72cb40cba9e7. [Accessed: 06-Oct-2018]."
Testing,testing,testing,process that evaluates a machine learning model by calculating the predictive accuracy across a test set ,,"“Evaluating ML Models,” Amazon. [Online]. Available: https://docs.aws.amazon.com/machine-learning/latest/dg/evaluating_models.html. [Accessed: 18-Oct-2018]."
Thin Eyebrows,thin eyebrows,thin_eyebrows,eyebrows measuring little in cross section or diameter,https://www.merriam-webster.com/dictionary/thin,"“Thin,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/thin. [Accessed: 19-Nov-2018]."
Training,training,training,process that uses a machine learning algorithm to find patterns within a training set and captures them as machine learning model,,"“Training ML Models,” Amazon. [Online]. Available: https://docs.aws.amazon.com/machine-learning/latest/dg/training-ml-models.html. [Accessed: 18-Oct-2018]. "
Training Set,training set,training_set,data samples used to fit the model,,"10153068920222172, “About Train, Validation and Test Sets in Machine Learning,” Towards Data Science, 06-Dec-2017. [Online]. Available: https://towardsdatascience.com/train-validation-and-test-sets-72cb40cba9e7. [Accessed: 06-Oct-2018]."
Unrestricted WIth Labeled Outside Data,unrestricted wIth labeled outside data,unrestricted_with_labeled_outside_data,using any dataset with any outside tagged data,"“Results,” LFW : Results. [Online]. Available: http://vis-www.cs.umass.edu/lfw/results.html. [Accessed: 06-Oct-2018].","“Results,” LFW : Results. [Online]. Available: http://vis-www.cs.umass.edu/lfw/results.html. [Accessed: 06-Oct-2018]."
Upperface Occlusion,upperface occlusion,upperface_occlusion,obstruction that covers the face the nose and above,,"“upper| Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/upper. [Accessed: 28-Oct-2018]."
Validation Set,validation set,validation_set,data samples used to provide an unbiased evaluation of a model fit while tuning model hyperparameters,,"10153068920222172, “About Train, Validation and Test Sets in Machine Learning,” Towards Data Science, 06-Dec-2017. [Online]. Available: https://towardsdatascience.com/train-validation-and-test-sets-72cb40cba9e7. [Accessed: 06-Oct-2018]."
Wavy Hair,wavy hair,wavy_hair,hair that has a form or edge that smoothly curves in and out,,"“wavy | Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/wavy. [Accessed: 13-Oct-2018]."
Weight Range,weight range,weight_range,"the space or extent included, covered, or used to describe weight",https://www.merriam-webster.com/dictionary/range,"“Range,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/range. [Accessed: 19-Nov-2018]."
White,white,white,"categorized as ""White"" by the LFW tags",,
Youth,youth,youth,person from age 5 to 17 years old,,"N. Geifman and E. Rubin, “The Age-Phenome Knowledgebase: an example to handling ab-straction and expressiveness in a knowledge domain.”"
ZygomaticOcclusion,zygomatic occlusion,zygomatic_occlusion,occlusion of the cheek bones,,"“Facial Region,” The Free Dictionary. [Online]. Available: https://medical-dictionary.thefreedictionary.com/facial region. [Accessed: 03-Nov-2018]."
